Metric,Value
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,4.28117E-7
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,1.42233E-7
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,4.28117E-7
design_powergrid__voltage__worst,4.28117E-7
design_powergrid__voltage__worst__net:VDD,5
design_powergrid__drop__worst,7.9945E-7
design_powergrid__drop__worst__net:VDD,7.9945E-7
design_powergrid__voltage__worst__net:VSS,4.28117E-7
design_powergrid__drop__worst__net:VSS,4.28117E-7
ir__voltage__worst,5
ir__drop__avg,1.79999999999999997148616048998903682587524599512107670307159423828125E-7
ir__drop__worst,7.989999999999999945486856868515079810322276898659765720367431640625E-7
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
